_date,total_clones,unique_clones
2021-12-01,1,1
2021-12-02,1,1
2021-12-03,1,1
2021-12-04,1,1
2021-12-05,2,2
2021-12-06,1,1
2021-12-07,59,9
2021-12-08,1,1
2021-12-09,1,1
2021-12-10,2,2
2021-12-11,1,1
2021-12-12,2,2
2021-12-13,4,3
2021-12-14,3,3
2021-12-15,2,2
2021-12-16,4,3
2021-12-17,3,2
2021-12-18,1,1
2021-12-19,2,2
2021-12-20,2,2
2021-12-21,2,2
2021-12-22,1,1
2021-12-23,1,1
2021-12-24,1,1
2021-12-25,2,2
2021-12-26,1,1
2021-12-27,1,1
2021-12-28,3,3
2021-12-29,1,1
2021-12-30,1,1
2021-12-31,1,1
2022-01-01,1,1
2022-01-02,3,2
2022-01-03,1,1
2022-01-04,3,3
2022-01-05,1,1
2022-01-06,1,1
2022-01-07,1,1
2022-01-08,5,3
2022-01-09,1,1
2022-01-10,1,1
2022-01-11,1,1
